URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element
https://www.cpf.gov.sg/Members#,aria-required-children,critical,https://dequeuniversity.com/rules/axe/2.6/aria-required-children?application=webdriverjs,<div class="carousel-inner" role="listbox">,Required ARIA child role not present: option,#imageRotator > [role="listbox"].carousel-inner
https://www.cpf.gov.sg/Members#,button-name,critical,https://dequeuniversity.com/rules/axe/2.6/button-name?application=webdriverjs,<button type="button" class="sgds-button is-white is-medium" aria-haspopup="true" aria-controls="sgds-dropdown-menu2" style="padding-left: 7px;padding-right: 4px;">,Element has a value attribute and the value attribute is empty--Element has no value attribute or the value attribute is empty--Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",.sgds-dropdown-trigger > button
https://www.cpf.gov.sg/Members#,button-name,critical,https://dequeuniversity.com/rules/axe/2.6/button-name?application=webdriverjs,<button class="cpf-btn-share cpf-btn-accessibility-large-size" id="btnPrint1" data-utility="printPage" onclick="window.print(); return false;" style="margin-left: 5px; background: #464642;">                            <span class="glyphicon glyphicon-print"></span>                        </button>,Element has a value attribute and the value attribute is empty--Element has no value attribute or the value attribute is empty--Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",#btnPrint1
https://www.cpf.gov.sg/Members#,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<a onclick="ga('send'-'event'-'Member Popular Services'-'Popular Services Click'-'View My Statement')" href="https://www.cpf.gov.sg/eSvc/Web/Services/Statement/Statement" target="_self">View My Statement</a>,Element has insufficient color contrast of 4.4 (foreground color: #4f8208- background color: #f9f9f9- font size: 12.0pt- font weight: bold). Expected contrast ratio of 4.5:1,.caption > a[href$="Statement"]
https://www.cpf.gov.sg/Members#,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<a onclick="ga('send'-'event'-'Member Popular Services'-'Popular Services Click'-'View My Activities')" href="https://www.cpf.gov.sg/eSvc/Web/Services/MyActivity/MyActivity" target="_self">View My Activities</a>,Element has insufficient color contrast of 4.4 (foreground color: #4f8208- background color: #f9f9f9- font size: 12.0pt- font weight: bold). Expected contrast ratio of 4.5:1,.caption > a[href$="MyActivity"]
https://www.cpf.gov.sg/Members#,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<a onclick="ga('send'-'event'-'Member Popular Services'-'Popular Services Click'-'Make Voluntary Contributions')" href="https://www.cpf.gov.sg/eSvc/Web/Miscellaneous/Cashier/ECashierHomepage" target="_self">Make Voluntary Contributions</a>,Element has insufficient color contrast of 4.4 (foreground color: #4f8208- background color: #f9f9f9- font size: 12.0pt- font weight: bold). Expected contrast ratio of 4.5:1,#card_container > .glider-contain.glider-wrap > .glider.draggable > .glider-track > .left-7 > .caption > a[href$="ECashierHomepage"]
https://www.cpf.gov.sg/Members#,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<a onclick="ga('send'-'event'-'Member Popular Services'-'Popular Services Click'-'Make Retirement Top-Ups')" href="https://www.cpf.gov.sg/eSvc/Web/Miscellaneous/Cashier/ECashierHomepage" target="_self">Make Retirement Top-Ups</a>,Element has insufficient color contrast of 4.4 (foreground color: #4f8208- background color: #f9f9f9- font size: 12.0pt- font weight: bold). Expected contrast ratio of 4.5:1,#card_container > .glider-contain.glider-wrap > .glider.draggable > .glider-track > .left-6 > .caption > a[href$="ECashierHomepage"]
https://www.cpf.gov.sg/Members#,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<a onclick="ga('send'-'event'-'Member Popular Services'-'Popular Services Click'-'Calculate CPF Contributions')" href="https://www.cpf.gov.sg/eSvc/Web/Miscellaneous/ContributionCalculator/Index?isFirstAndSecondYear=0&amp;isMember=1" target="_self">Calculate CPF Contributions</a>,Element has insufficient color contrast of 4.4 (foreground color: #4f8208- background color: #f9f9f9- font size: 12.0pt- font weight: bold). Expected contrast ratio of 4.5:1,#card_container > .glider-contain.glider-wrap > .glider.draggable > .glider-track > .left-5 > .caption > a
https://www.cpf.gov.sg/Members#,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<a onclick="ga('send'-'event'-'Member Popular Services'-'Popular Services Click'-'Calculate CPF LIFE Payouts')" href="https://www.cpf.gov.sg/eSvc/Web/Schemes/LifeEstimator/LifeEstimator" target="_self">Calculate CPF LIFE Payouts</a>,Element has insufficient color contrast of 4.4 (foreground color: #4f8208- background color: #f9f9f9- font size: 12.0pt- font weight: bold). Expected contrast ratio of 4.5:1,.caption > a[href$="LifeEstimator"]
https://www.cpf.gov.sg/Members#,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,<div class="ms-srch-dataProvider" id="DataProvider" name="Control"></div>,Document has multiple elements with the same id attribute: DataProvider,#ctl00_ctl87_g_32e23222_9cdf_4318_9dd2_33760a7e30d8_ctl00_csr > div.ms-srch-dataProvider
https://www.cpf.gov.sg/Members#,image-alt,critical,https://dequeuniversity.com/rules/axe/2.6/image-alt?application=webdriverjs,<img border="0" src="/Assets/common/PublishingImages/Cards/Quicklinks_Statements_icon.png">,Element does not have an alt attribute--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element has no title attribute or the title attribute is empty--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",.left-9 > img
https://www.cpf.gov.sg/Members#,image-alt,critical,https://dequeuniversity.com/rules/axe/2.6/image-alt?application=webdriverjs,<img border="0" src="/Assets/common/PublishingImages/Cards/Quicklinks_Statements_icon.png">,Element does not have an alt attribute--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element has no title attribute or the title attribute is empty--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",.left-8 > img
https://www.cpf.gov.sg/Members#,image-alt,critical,https://dequeuniversity.com/rules/axe/2.6/image-alt?application=webdriverjs,<img border="0" src="/Assets/common/PublishingImages/Cards/Quicklinks_Forms_icon.png">,Element does not have an alt attribute--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element has no title attribute or the title attribute is empty--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",.left-7 > img[src$="Quicklinks_Forms_icon.png"]
https://www.cpf.gov.sg/Members#,image-alt,critical,https://dequeuniversity.com/rules/axe/2.6/image-alt?application=webdriverjs,<img border="0" src="/Assets/common/PublishingImages/Cards/Quicklinks_Forms_icon.png">,Element does not have an alt attribute--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element has no title attribute or the title attribute is empty--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",.left-6 > img[src$="Quicklinks_Forms_icon.png"]
https://www.cpf.gov.sg/Members#,image-alt,critical,https://dequeuniversity.com/rules/axe/2.6/image-alt?application=webdriverjs,<img border="0" src="/Assets/common/PublishingImages/Cards/Quicklinks_Calculators_icon.png">,Element does not have an alt attribute--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element has no title attribute or the title attribute is empty--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",.left-5 > img
https://www.cpf.gov.sg/Members#,image-alt,critical,https://dequeuniversity.com/rules/axe/2.6/image-alt?application=webdriverjs,<img border="0" src="/Assets/common/PublishingImages/Cards/Quicklinks_Calculators_icon.png">,Element does not have an alt attribute--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element has no title attribute or the title attribute is empty--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",.left-4 > img
https://www.cpf.gov.sg/Members#,label,critical,https://dequeuniversity.com/rules/axe/2.6/label?application=webdriverjs,<textarea name="chat_input" maxlength="170" class="chat_textarea" id="chat_input" placeholder="Type your question ..."></textarea>,aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Form element does not have an implicit (wrapped) <label>--Form element does not have an explicit <label>--Element has no title attribute or the title attribute is empty,#chat_input
https://www.cpf.gov.sg/Members#,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=webdriverjs,<html dir="ltr" lang="en-SG" style="" class="cpf-js cpf-flexbox cpf-canvas cpf-canvastext cpf-no-touch cpf-postmessage cpf-indexeddb cpf-hashchange cpf-history cpf-rgba cpf-hsla cpf-multiplebgs cpf-backgroundsize cpf-borderimage cpf-borderradius cpf-boxshadow cpf-textshadow cpf-opacity cpf-cssanimations cpf-csscolumns cpf-cssgradients cpf-cssreflections cpf-csstransforms cpf-csstransforms3d cpf-csstransitions cpf-fontface cpf-generatedcontent cpf-video cpf-audio cpf-localstorage cpf-sessionstorage cpf-applicationcache cpf-svg cpf-inlinesvg cpf-smil cpf-svgclippaths k-webkit k-webkit79 hydrated wf-librefranklin-n4-inactive wf-inactive">,,html
https://www.cpf.gov.sg/Members#,link-name,serious,https://dequeuniversity.com/rules/axe/2.6/link-name?application=webdriverjs,<a href="/Members/Schemes/schemes/other-matters/cpf-nomination-scheme" target="_blank"><img src="/Assets/common/PublishingImages/HeroImage/Nomination_HeroImage_Text_girl.png" alt="" style="margin:5px;"></a>,Element does not have text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",#imageRotator > [role="listbox"] > div:nth-child(1) > .caption-container > .rightbox > .carousel-caption1 > .heading > p > a[href$="cpf-nomination-scheme"]
https://www.cpf.gov.sg/Members#,fake-rule,serious,There isn't a help url for this!,<a id="linkTurnOnAcc" href="#" class="ms-TurnOnAcc" onclick="SetIsAccessibilityFeatureEnabled(true);UpdateAccessibilityUI();document.getElementById('linkTurnOffAcc').focus();return false;">                Turn on more accessible mode            </a>,Element has no Bok Choy,#linkTurnOnAcc
https://www.cpf.gov.sg/Members#,fake-rule,serious,There isn't a help url for this!,<a id="linkTurnOffAnimation" href="#" class="ms-accessible ms-acc-button" onclick="ToggleAnimationStatus();return false;">                Turn off Animations            </a>,Element has no Bok Choy,#linkTurnOffAnimation
https://www.cpf.gov.sg/Members#,fake-rule,serious,There isn't a help url for this!,<a class="sgds-button is-text is-large no-padding-LR" style="text-decoration: none" id="search-activate">                                        <span class="sgds-icon is-size-5 sgds-icon-search">                                        </span>                                    </a>,Element has no Bok Choy,#search-activate
https://www.cpf.gov.sg/Members#,fake-rule,serious,There isn't a help url for this!,<a id="mainContent" name="mainContent" tabindex="-1">                        </a>,Element has no Bok Choy,#mainContent
https://www.cpf.gov.sg/Members#,fake-rule,serious,There isn't a help url for this!,<a href="#">Learn About CPF Nominations</a>,Element has no Bok Choy,.selected > a
