,URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element,Govtech Priority,WCAG Mapping
17,https://www.mycareersfuture.sg/survey,html-has-lang,serious,https://dequeuniversity.com/rules/axe/2.6/html-has-lang?application=webdriverjs,"<html ng-csp="""">",The <html> element does not have a lang attribute,div > iframe--html,4.0,3.1.1 Language of Page (Level A)
10,https://www.mycareersfuture.sg/docs/mycareersfuture_sg_user_faqs.pdf,document-title,serious,https://dequeuniversity.com/rules/axe/2.6/document-title?application=webdriverjs,<html>,Document does not have a non-empty <title> element,html,8.0,2.4.2 Page Titled (Level A)
11,https://www.mycareersfuture.sg/docs/mycareersfuture_sg_user_faqs.pdf,document-title,serious,https://dequeuniversity.com/rules/axe/2.6/document-title?application=webdriverjs,<html>,Document does not have a non-empty <title> element,html,4.0,
12,https://www.mycareersfuture.sg/docs/mycareersfuture_sg_user_faqs.pdf,html-has-lang,serious,https://dequeuniversity.com/rules/axe/2.6/html-has-lang?application=webdriverjs,<html>,The <html> element does not have a lang attribute,html,4.0,3.1.1 Language of Page (Level A)
13,https://www.mycareersfuture.sg/docs/mycareersfuture_sg_user_faqs.pdf,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=webdriverjs,<html>,,html,2.0,
8,https://www.mycareersfuture.sg/#,aria-valid-attr-value,critical,https://dequeuniversity.com/rules/axe/2.6/aria-valid-attr-value?application=webdriverjs,"<div aria-expanded=""false"" aria-owns="""" aria-activedescendant=""react-select-2--value"" aria-disabled=""false"" class=""Select-input"" role=""combobox"" tabindex=""0"" style=""border: 0px; width: 1px; display: inline-block;""></div>",,"#react-select-2--value > [role=""combobox""].Select-input",20.0,"4.1.2 Name, Role, Value (Level A)"
5,https://www.mycareersfuture.sg/#,aria-required-children,critical,https://dequeuniversity.com/rules/axe/2.6/aria-required-children?application=webdriverjs,"<div id=""react-autowhatever-1"" role=""listbox"" class=""react-autosuggest__suggestions-container""></div>",Required ARIA child role not present: option,#react-autowhatever-1,16.0,1.3.1 Info and Relationships (Level A)
6,https://www.mycareersfuture.sg/#,aria-required-children,critical,https://dequeuniversity.com/rules/axe/2.6/aria-required-children?application=webdriverjs,"<div aria-expanded=""false"" aria-owns="""" aria-activedescendant=""react-select-2--value"" aria-disabled=""false"" class=""Select-input"" role=""combobox"" tabindex=""0"" style=""border: 0px; width: 1px; display: inline-block;""></div>",Required ARIA child role not present: textbox,"#react-select-2--value > [role=""combobox""].Select-input",16.0,1.3.1 Info and Relationships (Level A)
7,https://www.mycareersfuture.sg/#,aria-required-parent,critical,https://dequeuniversity.com/rules/axe/2.6/aria-required-parent?application=webdriverjs,"<span class=""Select-value-label"" role=""option"" aria-selected=""true"" id=""react-select-2--value-item"">All Employment Types</span>",Required ARIA parent role not present: listbox,#react-select-2--value-item,16.0,1.3.1 Info and Relationships (Level A)
3,https://www.mycareersfuture.sg/,aria-valid-attr-value,critical,https://dequeuniversity.com/rules/axe/2.6/aria-valid-attr-value?application=webdriverjs,"<div aria-expanded=""false"" aria-owns="""" aria-activedescendant=""react-select-2--value"" aria-disabled=""false"" class=""Select-input"" role=""combobox"" tabindex=""0"" style=""border: 0px; width: 1px; display: inline-block;""></div>",,"#react-select-2--value > [role=""combobox""].Select-input",20.0,"4.1.2 Name, Role, Value (Level A)"
0,https://www.mycareersfuture.sg/,aria-required-children,critical,https://dequeuniversity.com/rules/axe/2.6/aria-required-children?application=webdriverjs,"<div id=""react-autowhatever-1"" role=""listbox"" class=""react-autosuggest__suggestions-container""></div>",Required ARIA child role not present: option,#react-autowhatever-1,16.0,1.3.1 Info and Relationships (Level A)
1,https://www.mycareersfuture.sg/,aria-required-children,critical,https://dequeuniversity.com/rules/axe/2.6/aria-required-children?application=webdriverjs,"<div aria-expanded=""false"" aria-owns="""" aria-activedescendant=""react-select-2--value"" aria-disabled=""false"" class=""Select-input"" role=""combobox"" tabindex=""0"" style=""border: 0px; width: 1px; display: inline-block;""></div>",Required ARIA child role not present: textbox,"#react-select-2--value > [role=""combobox""].Select-input",16.0,1.3.1 Info and Relationships (Level A)
2,https://www.mycareersfuture.sg/,aria-required-parent,critical,https://dequeuniversity.com/rules/axe/2.6/aria-required-parent?application=webdriverjs,"<span class=""Select-value-label"" role=""option"" aria-selected=""true"" id=""react-select-2--value-item"">All Employment Types</span>",Required ARIA parent role not present: listbox,#react-select-2--value-item,16.0,1.3.1 Info and Relationships (Level A)
