Volation Type,Govtech Priority,WCAG Mapping
label,20,1.1.1 Non-text Content (Level A)
label,20,3.3.2 Labels or Instructions (Level A)
link-name,10,"2.4.4 Link Purpose (In Context) (Level A),
4.1.2 Name, Role, Value (Level A)"
href-no-hash,10,2.4.4 Link Purpose (In Context) (Level A)
label-content-name-mismatch,10,2.5.3 Label in Name (WCAG 2.1 Level A)
duplicate-id-active,20,4.1.1 Parsing (Level A)
duplicate-id-aria,20,4.1.1 Parsing (Level A)
aria-input-field-name,10,"4.1.2 Name, Role, Value (Level A)"
aria-allowed-role,2.5,"4.1.2 Name, Role, Value (Level A)"
aria-roles,20,"4.1.2 Name, Role, Value (Level A)"
aria-toggle-field-label,10,"4.1.2 Name, Role, Value (Level A)"
button-name,20,"4.1.2 Name, Role, Value (Level A)"
input-button-name,20,"4.1.2 Name, Role, Value (Level A)"
aria-roledescription,10,"4.1.2 Name, Role, Value (Level A)"
form-field-multiple-labels,5,3.3.2 Labels or Instructions (Level A)
aria-valid-attr,20,"4.1.2 Name, Role, Value (Level A)"
aria-valid-attr-value,20,"4.1.2 Name, Role, Value (Level A)"
aria-allowed-attr,20,"4.1.2 Name, Role, Value (Level A)"
aria-required-attr,20,"4.1.2 Name, Role, Value (Level A)"
aria-required-children,16,1.3.1 Info and Relationships (Level A)
aria-required-parent,16,1.3.1 Info and Relationships (Level A)
hidden-content,2,1.3.2 Meaningful Sequence (Level A)
frame-title,8,"2.4.1 Bypass Blocks (Level A),
4.1.2 Name, Role, Value (Level A)"
bypass,8,2.4.1 Bypass Blocks (Level A)
document-title,8,2.4.2 Page Titled (Level A)
tabindex,8,"1.3.2 Meaningful Sequence (Level A),
2.4.3 Focus Order (Level A)"
aria-hidden-focus,8,"4.1.2 Name, Role, Value (Level A)"
aria-hidden-body,16,"4.1.2 Name, Role, Value (Level A)"
,,
role-img-alt,8,1.1.1 Non-text Content (Level A)
meta-refresh,16,"2.2.1 Timing Adjustable (Level A),
2.2.4 Interruptions (Level AAA),
3.2.5 Change on Request (Level AAA)"
meta-viewport-large,1.5,1.4.4 Resize text (Level AA)
meta-viewport,12,1.4.4 Resize text (Level AA)
link-in-text-block,6,1.4.1 Use of Color (Level A)
color-contrast,6,1.4.3 Contrast (Minimum) (Level AA)
audio-caption,8,1.2.1 Prerecorded Audio-only and Video-only (Level A)
blink,4,"2.2.2 Pause, Stop, Hide (Level A)"
definition-list,4,1.3.1 Info and Relationships (Level A)
dlitem,4,1.3.1 Info and Relationships (Level A)
html-has-lang,4,3.1.1 Language of Page (Level A)
html-lang-valid,4,3.1.1 Language of Page (Level A)
html-xml-lang-mismatch,2,3.1.1 Language of Page (Level A)
listitem,4,1.3.1 Info and Relationships (Level A)
marquee,4,"2.2.2 Pause, Stop, Hide (Level A)"
object-alt,4,
list,4,1.3.1 Info and Relationships (Level A)
video-caption,8,"1.2.2 Captions (Prerecorded) (Level A), 
1.2.3 Audio Description or Media Alternative (Prerecorded) (Level A)"
accesskeys,4,2.1.1 Keyboard (Level A)
area-alt,8,1.1.1 Non-text Content (Level A)
th-has-data-cells,4,1.3.1 Info and Relationships (Level A)
td-headers-attr,4,1.3.1 Info and Relationships (Level A)
td-has-header,8,1.3.1 Info and Relationships (Level A)
region,2,
autocomplete-valid,4,1.3.5 Identify Input Purpose (WCAG 2.1 Level AA)
landmark-banner-is-top-level,2,
p-as-heading,4,1.3.1 Info and Relationships (Level A)
landmark-complementary-is-top-level,2,
landmark-complementary-is-top-level,2,
css-orientation-lock,4,1.3.4 Orientation (WCAG 2.1 Level AA)
table-fake-caption,4,1.3.1 Info and Relationships (Level A)
document-title,4,
scrollable-region-focusable,2,2.4.7 Focus Visible (Level AA)
label-title-only,4,"1.3.1 Info and Relationships (Level A), 
1.3.5 Identify Input Purpose (WCAG 2.1 Level AA)"
frame-tested,8,
frame-title-unique,4,
heading-order,2,
empty-heading,1,
duplicate-id,1,4.1.1 Parsing (Level A)
image-alt,8,1.1.1 Non-text Content (Level A)
avoid-inline-spacing,4,1.4.12 Text Spacing (WCAG 2.1 Level AA)
landmark-unique,2,
valid-lang,4,3.1.2 Language of Parts (Level AA)
layout-table,4,1.3.1 Info and Relationships (Level A)
landmark-main-is-top-level,2,
page-has-heading-one,2,
landmark-one-main,2,
landmark-no-duplicate-banner,2,
landmark-no-duplicate-contentinfo,2,
scope-attr-valid,8,
server-side-image-map,1,2.1.1 Keyboard (Level A)
image-redundant-alt,1,
table-duplicate-name,1,
skip-link,2,
aria-dpub-role-fallback,2,1.3.1 Info and Relationships (Level A)
